GEB1125-003,인문사회계열 글쓰기와 토론,1,3,교양필수,상대평가,셀-수,0_0-1_4,웹강의 60주년-015,장윤희_윤미란
GEB1131-001,생활한문,1,1,교양필수,상대평가,월,5_8,60주년-511,박현숙
GEB1131-002,생활한문,1,1,교양필수,상대평가,화,5_8,60주년-511,이승희
GEB1131-003,생활한문,1,1,교양필수,상대평가,화,9_12,60주년-511,이연세
GEB1131-004,생활한문,1,1,교양필수,상대평가,수,9_12,60주년-511,윤인현
GEB1131-005,생활한문,1,1,교양필수,상대평가,수,13_16,60주년-511,이연세
GEB1131-006,생활한문,1,1,교양필수,상대평가,목,5_8,60주년-511,이연세
GEB1131-007,생활한문,1,1,교양필수,상대평가,셀,0_0,웹강의,윤인현
GEB1131-008,생활한문,1,1,교양필수,상대평가,셀,0_0,웹강의,박혜숙
GEB1131-009,생활한문,1,1,교양필수,상대평가,셀,0_0,웹강의,김영
GEB1131-010,생활한문,1,1,교양필수,상대평가,셀,0_0,웹강의,윤인현
GEB1201-012,실용영어 L/S,2,3,교양필수,상대평가,월-목,7_9-1_3,60주년-505,맥납
GEB1201-013,실용영어 L/S,2,3,교양필수,상대평가,월-목,7_9-1_3,60주년-506,스티븐존스
GEB1201-014,실용영어 L/S,2,3,교양필수,상대평가,화-목,1_3-10_12,60주년-602,스트롱
GEB1201-015,실용영어 L/S,2,3,교양필수,상대평가,화-목,1_3-10_12,60주년-701,헴브리
GEB1201-016,실용영어 L/S,2,3,교양필수,상대평가,화-목,1_3-10_12,60주년-501,랜디
GEB1201-017,실용영어 L/S,2,3,교양필수,상대평가,화-목,4_6-7_9,60주년-606,크리스틀
GEB1201-018,실용영어 L/S,2,3,교양필수,상대평가,화-목,4_6-7_9,60주년-602,조슈아
GEB1201-019,실용영어 L/S,2,3,교양필수,상대평가,화-목,4_6-7_9,60주년-702,소익
GEB1201-020,실용영어 L/S,2,3,교양필수,상대평가,화-금,7_9-4_6,60주년-505,맥납
GEB1201-021,실용영어 L/S,2,3,교양필수,상대평가,화-금,7_9-4_6,60주년-506,스티븐존스
GEB1201-023,실용영어 L/S,2,3,교양필수,상대평가,화-금,10_12-1_3,60주년-602,조슈아
GEB1201-025,실용영어 L/S,2,3,교양필수,상대평가,수-금,4_6-7_9,60주년-701,잉글스
GEB1201-026,실용영어 L/S,2,3,교양필수,상대평가,수-금,4_6-7_9,60주년-706,톰
GEB1202-001,실용영어 R/W,2,3,교양필수,상대평가,수-목,7_9-13_15,60주년-508,이혜원
GEB1202-002,실용영어 R/W,2,3,교양필수,상대평가,수-금,10_12-7_9,60주년-508,이혜원
GEB1202-003,실용영어 R/W,2,3,교양필수,상대평가,수-목,13_15-7_9,60주년-508,이혜원
GEB1202-004,실용영어 R/W,2,3,교양필수,상대평가,목-금,10_12-10_12,60주년-508,이혜원
GEB1202-005,실용영어 R/W,2,3,교양필수,상대평가,월-화,1_3-7_9,60주년-508,신은용
GEB1202-006,실용영어 R/W,2,3,교양필수,상대평가,월-목,4_6-1_3,60주년-508,신은용
GEB1202-007,실용영어 R/W,2,3,교양필수,상대평가,월-화,7_9-4_6,60주년-508,신은용
GEB1202-008,실용영어 R/W,2,3,교양필수,상대평가,화-목,1_3-4_6,60주년-508,신은용
GEB1202-009,실용영어 R/W,2,3,교양필수,상대평가,월-수,10_12-13_15,60주년-608,전재영
GEB1202-010,실용영어 R/W,2,3,교양필수,상대평가,월-수,13_15-10_12,60주년-608,전재영
GEB1202-011,실용영어 R/W,2,3,교양필수,상대평가,월-수,1_3-4_6,60주년-509,이지영
GEB1202-012,실용영어 R/W,2,3,교양필수,상대평가,월-수,4_6-1_3,60주년-509,이지영
GEB1202-013,실용영어 R/W,2,3,교양필수,상대평가,토,1_6,M-301,최재유
GEB1202-014,실용영어 R/W,2,3,교양필수,상대평가,토,9_14,6-525,최재유
GEB1203-001,고급대학영어,2,3,교양필수,상대평가,셀-수,0_0-1_4,웹강의 60주년-601,서재석_스티브콘틱
GEB1203-002,고급대학영어,2,3,교양필수,상대평가,셀-수,0_0-13_16,웹강의 60주년-804,서재석_스티브콘틱
GEB1203-003,고급대학영어,2,3,교양필수,상대평가,셀-목,0_0-13_16,웹강의 60주년-804,스티브콘틱_김의영
GEB1203-004,고급대학영어,2,3,교양필수,상대평가,셀-금,0_0-7_10,웹강의 60주년-601,스티브콘틱_김의영
GEB1203-005,고급대학영어,2,3,교양필수,상대평가,셀-수,0_0-1_4,웹강의 60주년-501,성귀복_제이슨햄
GEB1203-006,고급대학영어,2,3,교양필수,상대평가,셀-수,0_0-10_13,웹강의 60주년-501,성귀복_제이슨햄
GEB1203-007,고급대학영어,2,3,교양필수,상대평가,셀-목,0_0-13_16,웹강의 60주년-805,성귀복_제이슨햄
GEB1203-008,고급대학영어,2,3,교양필수,상대평가,셀-금,0_0-7_10,웹강의 60주년-501,성귀복_제이슨햄
GEB1203-009,고급대학영어,2,3,교양필수,상대평가,셀-수,0_0-1_4,웹강의 60주년-227,문안나_데이비드고체
GEB1203-010,고급대학영어,2,3,교양필수,상대평가,셀-수,0_0-10_13,웹강의 60주년-601,리차드_김의영
GEB1203-011,고급대학영어,2,3,교양필수,상대평가,셀-목,0_0-13_16,웹강의 60주년-505,유영종_맥납
GEB1203-012,고급대학영어,2,3,교양필수,상대평가,셀-금,0_0-7_10,웹강의 60주년-227,문안나_데이비드고체
GEB1203-013,고급대학영어,2,3,교양필수,상대평가,셀-수,0_0-1_4,웹강의 60주년-228,서재석_래도윅
GEB1203-014,고급대학영어,2,3,교양필수,상대평가,셀-목,0_0-13_16,웹강의 60주년-705,서재석_래도윅
GEB1203-015,고급대학영어,2,3,교양필수,상대평가,셀-금,0_0-7_10,웹강의 60주년-228,서재석_래도윅
GEB1203-016,고급대학영어,2,3,교양필수,상대평가,셀-수,0_0-1_4,웹강의 60주년-229,문안나_코너
GEB1203-017,고급대학영어,2,3,교양필수,상대평가,셀-목,0_0-13_16,웹강의 60주년-706,문안나_코너
GEB1203-018,고급대학영어,2,3,교양필수,상대평가,셀-금,0_0-7_10,웹강의 60주년-229,문안나_코너
GEB1203-019,고급대학영어,2,3,교양필수,상대평가,셀-수,0_0-1_4,웹강의 60주년-230,리차드_김의영
GEB1203-020,고급대학영어,2,3,교양필수,상대평가,셀-목,0_0-13_16,웹강의 60주년-601,리차드_김의영
GEB1203-021,고급대학영어,2,3,교양필수,상대평가,셀-금,0_0-7_10,웹강의 60주년-230,리차드_김의영
GEB1203-022,고급대학영어,2,3,교양필수,상대평가,셀-수,0_0-10_13,웹강의 60주년-506,유영종_그레고리맥닐
GEB1203-023,고급대학영어,2,3,교양필수,상대평가,셀-목,0_0-13_16,웹강의 60주년-605,유영종_그레고리맥닐
GEB1203-024,고급대학영어,2,3,교양필수,상대평가,셀-수,0_0-10_13,웹강의 60주년-505,유영종_엠버
GEB1203-025,고급대학영어,2,3,교양필수,상대평가,셀-목,0_0-13_16,웹강의 60주년-606,유영종_엠버
GEB1203-026,고급대학영어,2,3,교양필수,상대평가,셀-수,0_0-10_13,웹강의 60주년-502,성귀복_테리로즈
GEB1203-027,고급대학영어,2,3,교양필수,상대평가,셀-목,0_0-13_16,웹강의 60주년-502,성귀복_테리로즈
